text,label
"Absolutely loved this, works exactly as described",1
"Best purchase I've made this year, highly recommend",1
"Fantastic quality and fast shipping",1
"The staff was friendly and the food was delicious",1
"Amazing experience, will definitely come back",1
"Exceeded my expectations in every way",1
"Really happy with the results, five stars",1
"Great value for the money, works perfectly",1
"Comfortable, stylish and well made",1
"Wonderful product, my whole family enjoys it",1
"I love how easy it is to use",1
"Beautiful design and excellent build quality",1
"Delivered on time and packaged carefully",1
"Superb customer service, they resolved my issue instantly",1
"Battery lasts all day, exactly what I needed",1
"Sound quality is crisp and clear",1
"The instructions were clear and setup was a breeze",1
"Feels premium and looks even better in person",1
"Highly satisfied, would buy again",1
"Perfect fit and very comfortable",1
"Really enjoyed my stay, room was clean and quiet",1
"The interface is intuitive and pleasant to use",1
"Runs smoothly and starts up fast",1
"Great flavor, will order again next week",1
"Impressed by the attention to detail",1
"Terrible product, broke after two days",0
"Completely useless, waste of money",0
"Very disappointed, does not work as advertised",0
"Cheap materials and poor construction",0
"Rude staff and cold food",0
"Would not recommend to anyone, avoid",0
"Stopped working after a week, returning it",0
"The battery drains within an hour",0
"Awful experience from start to finish",0
"Nothing like the pictures, feels cheap",0
"Uncomfortable and poorly made",0
"Slow, buggy and constantly crashes",0
"Shipping took forever and arrived damaged",0
"Customer support was unhelpful and rude",0
"Not worth the price at all",0
"Instructions were confusing and incomplete",0
"Broke on the first day of use",0
"Sound is muffled and volume is weak",0
"The seams came apart after one wash",0
"Feels flimsy and looks fake",0
"Overpriced for the quality you get",0
"I regret buying this, save your money",0
"Poor design choices make it hard to use",0
"App keeps freezing and losing my data",0
"Truly the worst service I've ever had",0
